id,名前,ポジション,年齢,国籍,能力,潜在能力,成長タイプ,性格,プレースタイル,所属クラブ
1,木村 隼人,DF,27,日本,66,78,標準型,リーダー,タックルマスター,ストライバーFC
2,白石 翼,MF,23,日本,70,85,早熟型,頭脳派,チャンスクリエイター,ストライバーFC
3,鈴木 圭,FW,19,日本,61,92,早熟型,勝負師,トリックスター,ストライバーFC
4,田中 雄大,MF,29,日本,74,74,晩成型,自己研鑽型,バランサー,ストライバーFC
5,佐藤 優希,DF,22,日本,65,80,標準型,感情型,スイーパーリーダー,ストライバーFC
6,中村 颯,GK,24,日本,72,82,標準型,勝負師,クラッチプレイヤー,ストライバーFC
7,吉田 悠,FW,18,日本,58,90,超早熟型,超早熟型,シャドーストライカー,ストライバーFC
8,伊藤 輝,MF,25,日本,68,75,標準型,ムードメーカー,セカンドストライカー,ストライバーFC
9,松本 拓海,DF,20,日本,62,83,晩成型,晩成型,インナーラップ型SB,ストライバーFC
10,藤原 優,FW,17,日本,60,88,王様タイプ,王様タイプ,カウンターランナー,ストライバーFC
11,アレックス・マルティネス,DF,26,スペイン,69,81,標準型,職人タイプ,タックルマスター,ストライバーFC
12,ルーカス・シュナイダー,MF,24,ドイツ,73,85,晩成型,分析重視,チャンスクリエイター,ストライバーFC
13,ミゲル・ゴメス,FW,22,ポルトガル,66,87,早熟型,自己研鑽型,トリックスター,ストライバーFC
14,トム・ブラウン,DF,28,イングランド,75,78,標準型,冷静,スイーパーリーダー,ストライバーFC
15,パブロ・サンチェス,MF,21,スペイン,68,88,超早熟型,感情型,セカンドストライカー,ストライバーFC
16,ジャン・ルフェーブル,GK,30,フランス,70,70,晩成型,情熱タイプ,クラッチプレイヤー,ストライバーFC
17,レオ・ドゥアルテ,DF,25,ブラジル,72,84,標準型,王様タイプ,インナーラップ型SB,ストライバーFC
18,マルコ・ロッシ,FW,19,イタリア,63,91,超早熟型,勝負師,シャドーストライカー,ストライバーFC
19,サミュエル・オコエ,MF,23,ナイジェリア,71,86,晩成型,フィジカル型,バランサー,ストライバーFC
20,ジェイソン・クラーク,FW,27,アメリカ,68,75,標準型,メディア映えタイプ,クロスハンター,ストライバーFC
21,キム・ジフン,DF,22,韓国,64,79,標準型,真面目タイプ,タックルマスター,ストライバーFC
22,チャ・ミンソク,MF,24,韓国,70,85,標準型,チーム至上主義,チャンスクリエイター,ストライバーFC
23,チェン・ウェイ,FW,20,中国,65,84,早熟型,クールタイプ,トリックスター,ストライバーFC
24,ジャン・ユンロン,DF,26,中国,67,77,晩成型,安定志向,スイーパーリーダー,ストライバーFC
25,セバスティアン・エレーラ,MF,21,アルゼンチン,72,90,超早熟型,勝負師,ディストラクター,ストライバーFC
26,エンリケ・カストロ,FW,22,メキシコ,69,85,標準型,感情型,シャドーストライカー,ストライバーFC
27,イブラヒム・ジャロ,DF,23,セネガル,70,83,晩成型,情熱タイプ,インナーラップ型SB,ストライバーFC
28,アンドレ・リマ,MF,28,ブラジル,73,76,標準型,ムードメーカー,チャンスクリエイター,ストライバーFC
29,ヴィクトル・スミルノフ,DF,30,ロシア,74,74,標準型,冷静,スイーパーリーダー,ストライバーFC
30,フレデリック・ラーション,GK,19,スウェーデン,60,89,超早熟型,影の支配者タイプ,クラッチプレイヤー,ストライバーFC
